岗位,地点,薪资,工作经验,学历,公司,技能,区间最小薪资(K),城市地区,城市,地区
软件开发工程师（图像、算法方向）,南京·秦淮区·洪家园,15-25K·15薪,'经验不限', '硕士',江苏无线电厂有限公司,"['分布式技术', '数据结构', '图形图像处理', 'OpenCV', '图像处理、机器学习', 'AI', 'C++', 'Linux']",15,南京秦淮区,南京,秦淮区
图像算法工程师,南京·雨花台区·铁心桥,15-30K·14薪,'1-3年', '硕士',红松信息,"['Python', '深度学习算法', '视觉图像算法', 'CNN', 'PyTorch', '视频算法', '算法设计', '神经网络']",15,南京雨花台区,南京,雨花台区
算法工程师,南京·栖霞区·尧化,15-20K·13薪,'经验不限', '本科',美基森,"['语音/图像识别', 'Python', 'C/C++']",15,南京栖霞区,南京,栖霞区
图像处理算法工程师（3D）,南京·江宁区·开发区,10-15K·13薪,'经验不限', '硕士',南京鹏力科技集团,"['OpenCV', 'C/C++', '计算机相关专业', '图像识别经验']",10,南京江宁区,南京,江宁区
算法工程师（视觉图像检测）,南京·江宁区·秣陵,13-25K·14薪,'1-3年', '本科',必勤得创,"['C++', 'Python', '深度学习算法', '机器学习算法', '视觉图像算法', '人工智能', 'C语言']",13,南京江宁区,南京,江宁区
图像算法工程师,南京·雨花台区·铁心桥,15-30K·13薪,'1-3年', '硕士',博视医疗,"['研究导向', '生物医疗', 'Python', 'MATLAB', '数学/统计相关专业', '机器学习算法/工程化经验', '深度学习经验']",15,南京雨花台区,南京,雨花台区
图像识别工程师,南京·江宁区·开发区,10-15K·13薪,'经验不限', '硕士',道达科技,"['C/C++', 'OpenCV']",10,南京江宁区,南京,江宁区
图像算法处理师,南京·鼓楼区·建宁路,10-15K,'经验不限', '硕士',新前端奕天,"['Python', '图形图像处理', 'Shell', '网络编程']",10,南京鼓楼区,南京,鼓楼区
图像处理算法工程师,南京·雨花台区·宁南,25-40K·13薪,'经验不限', '硕士',虹软科技,"['无明显侧重', 'C/C++', 'MATLAB', '计算机相关专业']",25,南京雨花台区,南京,雨花台区
视觉算法工程师,南京·建邺区·江心洲,15-30K,'经验不限', '本科',云思创智,"['C/C++', 'Python']",15,南京建邺区,南京,建邺区
深度学习图像识别算法工程师（南京）,南京·鼓楼区·华侨路,15-20K·13薪,'经验不限', '硕士',HyperAI,"['C++', 'Python', '算法设计', '深度学习算法', '视觉图像算法', 'OpenCV', 'TensorFlow', 'PyTorch']",15,南京鼓楼区,南京,鼓楼区
机器视觉算法-图像处理算法高级工程师,南京·江宁区·开发区,20-40K·13薪,'3-5年', '本科',势创智能科技,"['视觉图像算法', 'C#', 'OpenCV', '机器视觉', '视觉算法', '视觉检测', 'Halcon']",20,南京江宁区,南京,江宁区
高级图像算法工程师（口腔）,南京·江宁区·淳化,12-18K,'1-3年', '硕士',普爱医疗,"['语音/图像识别', 'C/C++', '计算机相关专业', '数学/统计相关专业', '机器学习算法/工程化经验', '口腔影像', '牙科机']",12,南京江宁区,南京,江宁区
图像算法实习工程师,南京·江宁区·秣陵,4-8K,'经验不限', '硕士',智蓝芯联,"['C++', '机器学习算法', '视觉图像算法', '计算机相关专业', '深度学习算法', 'C/C++', 'PyTorch', '算法设计', '自然语言处理', '语音/图像识别', '业务导向', 'Python', 'TensorFlow']",4,南京江宁区,南京,江宁区
图像算法工程师,南京·江宁区·将军大道,10-15K·13薪,'1-3年', '本科',畅淼,"['视觉图像算法', '深度学习算法', 'Python', 'C++', 'PyTorch', 'TensorFlow']",10,南京江宁区,南京,江宁区
图像算法,南京,30-50K,'经验不限', '硕士',某智能硬件公司,"['C/C++', '视觉图像', '机器视觉', '图像处理']",30,南京,南京,
图像算法工程师,南京·建邺区·西善桥,12-18K·13薪,'经验不限', '硕士',南京贝伦思,"['机器学习算法', 'C++', 'Python', 'OpenCV', 'Halcon', '缺陷检测', '图像检测', '图像分析']",12,南京建邺区,南京,建邺区
算法工程师,南京,15-19K·13薪,'经验不限', '本科',金东康,"['C/C++', 'MATLAB', 'OpenCV', '图像处理', '图像算法']",15,南京,南京,
图像算法工程师（中级）,南京·鼓楼区·龙江,12-22K,'1-3年', '本科',中奥智能工业研究院,"['Python', '深度学习算法', '机器学习算法', '视觉图像算法', 'TensorFlow']",12,南京鼓楼区,南京,鼓楼区
图像算法工程师,南京·江宁区·东善桥,12-24K,'1-3年', '本科',凯影医疗,"['Python', '算法设计', '视觉图像算法', '图像处理', '图像分析']",12,南京江宁区,南京,江宁区
图像算法工程师,南京·江宁区·麒麟镇,20-30K·14薪,'1-3年', '硕士',中科南京人工智能...,"['C/C++', 'Python', 'TensorFlow/PyTorch', '计算机相关专业', '机器学习算法/工程化经验', '有国际期刊/会议论文发表', '图像超分', '目标检测', '行人重识别']",20,南京江宁区,南京,江宁区
图像深度学习算法工程师,南京·玄武区·珠江路,17-25K,'经验不限', '硕士',卓视智通,"['C/C++', 'TensorFlow/PyTorch', 'OCR识别经验', '图像识别经验', 'caffe']",17,南京玄武区,南京,玄武区
图像算法工程师,南京·江宁区·大学城,15-30K,'1-3年', '硕士',齐丰科技,"['C++', '算法设计', '深度学习算法', '机器学习算法', '视觉图像算法', '图像处理']",15,南京江宁区,南京,江宁区
图像AI算法工程师,南京·建邺区·江心洲,16-30K,'经验不限', '硕士',土星科技,"['深度学习算法', '机器学习算法', 'C++', 'Python', '人工智能', '视觉图像算法', '视频算法']",16,南京建邺区,南京,建邺区
机器视觉和图像处理算法工程师,南京·江宁区·麒麟镇,15-25K,'1-3年', '硕士',江苏万维艾斯公司,"['视觉图像算法', '深度学习算法', 'Caffe', 'PyTorch']",15,南京江宁区,南京,江宁区
图像处理算法工程师,南京·江宁区·将军大道,15-25K,'经验不限', '本科',上海贝特威,"['语音/图像识别', 'OpenCV']",15,南京江宁区,南京,江宁区
图像处理算法工程师,南京·江宁区·百家湖,15-30K,'1-3年', '本科',中汽创智,"['视觉图像算法', 'C++', 'Python', '图像处理', 'opencv', '特征提取', '边缘提取']",15,南京江宁区,南京,江宁区
算法工程师,南京·江宁区·开发区,25-50K·14薪,'1-3年', '本科',领行科技,"['Python', '深度学习算法', '机器学习算法', 'TensorFlow', 'PyTorch']",25,南京江宁区,南京,江宁区
3D图像算法工程师,南京·江宁区·麒麟镇,15-30K,'3-5年', '硕士',景曜科技,"['C/C++', 'TensorFlow/PyTorch', '图像识别经验', '人脸识别经验', '有国际期刊/会议论文发表']",15,南京江宁区,南京,江宁区
图像算法工程师,南京·江宁区·九龙湖,10-15K·13薪,'经验不限', '本科',南京泊纳莱电子科...,['视觉图像算法'],10,南京江宁区,南京,江宁区
算法开发工程师（图像）,南京,18-30K·15薪,'1-3年', '硕士',七宝,"['业务导向', '语音/图像识别', 'OpenCV', 'C/C++']",18,南京,南京,
深度学习图像算法工程师,南京·浦口区·沿江,10-14K·13薪,'1年以内', '硕士',富翰医疗,"['语音/图像识别', '生物医疗', 'Python', 'OpenCV', 'TensorFlow/PyTorch', '计算机相关专业', '机器学习算法/工程化经验', '深度学习经验']",10,南京浦口区,南京,浦口区
AI算法工程师,南京·浦口区·沿江,15-23K,'1-3年', '硕士',富岛科技,"['深度学习算法', '视觉图像算法', '算法设计', '机器学习算法', 'C++', 'TensorFlow', 'PyTorch', '人工智能']",15,南京浦口区,南京,浦口区
图形图像算法工程师,南京·秦淮区·光华路,18-19K,'1-3年', '硕士',中设航空,"['Python', 'TensorFlow/PyTorch', 'OpenCV', '计算机相关专业', '数学/统计相关专业', '图像识别经验']",18,南京秦淮区,南京,秦淮区
视觉算法工程师,南京·建邺区·奥体,20-35K·13薪,'经验不限', '硕士',勤策,"['深度学习算法', '视觉图像算法', 'Python']",20,南京建邺区,南京,建邺区
医学图像算法工程师,南京·鼓楼区·水佐岗,23-45K,'经验不限', '硕士',景三医疗,"['OpenCV', '图像识别经验', '医疗']",23,南京鼓楼区,南京,鼓楼区
高级图像算法工程师,南京·浦口区·江浦,20-30K,'3-5年', '本科',南京白利度科技,"['语音/图像识别', '算法']",20,南京浦口区,南京,浦口区
视觉算法工程师,南京·雨花台区·楚翘城,15-25K·14薪,'经验不限', '本科',泰治科技,"['C++', 'C#', '算法设计', '深度学习算法', '机器学习算法', '视觉图像算法']",15,南京雨花台区,南京,雨花台区
图像算法工程师,南京·鼓楼区·汉中门,10-15K·13薪,'1-3年', '本科',南京威翔科技有限公司,['图像算法'],10,南京鼓楼区,南京,鼓楼区
图像算法工程师,南京,20-40K,'5-10年', '硕士',某通信公司,"['语音/图像识别', 'Python', 'C/C++', 'TensorFlow/PyTorch', '计算机相关专业', '数学/统计相关专业', '机器学习算法/工程化经验']",20,南京,南京,
AI算法工程师、图像算法,南京,20-35K·15薪,'经验不限', '硕士',某知名互联网公司,"['语音/图像识别', 'OpenCV', '目标检测', '图像处理']",20,南京,南京,
图像算法负责人,南京·江宁区·百家湖,25-45K·13薪,'5-10年', '本科',众芯汉创,"['C/C++', 'Python', 'OpenCV', '图像识别经验', '遥感影像相关经验', 'OCR识别经验']",25,南京江宁区,南京,江宁区
图像算法工程师,南京·雨花台区·南京南站,25-50K,'1-3年', '硕士',江苏闪码光机电科技,"['视觉图像算法', '深度学习算法', '算法设计', 'C++', 'Python', '图像处理', 'OpenCV']",25,南京雨花台区,南京,雨花台区
图像算法工程师,南京·鼓楼区·中央门,15-30K,'3-5年', '本科',南瑞信通,"['业务导向', '语音/图像识别', 'Python', 'C/C++', 'OpenCV', '计算机相关专业', '数学/统计相关专业', '深度学习经验']",15,南京鼓楼区,南京,鼓楼区
图像算法工程师,南京·雨花台区·软件大道,15-26K,'经验不限', '硕士',轩宁信息,"['算法', '图像处理，C']",15,南京雨花台区,南京,雨花台区
图像算法工程师,南京,14-28K,'3-5年', '硕士',微纳科技研究院,"['C++', 'Python', '视觉图像算法', '图像处理', 'OpenCV']",14,南京,南京,
图像算法工程师,南京·建邺区·中胜,15-30K,'1-3年', '硕士',南京派光,"['C++', 'Python', '算法设计', '深度学习算法', '视觉图像算法']",15,南京建邺区,南京,建邺区
算法工程师（图像处理）,南京·六合区·西门,15-28K·15薪,'1-3年', '本科',基蛋生物,"['C++', 'Python', '算法设计', '视觉图像算法']",15,南京六合区,南京,六合区
图像算法工程师,南京,25-50K,'3-5年', '本科',某500强上市公司,"['C++', '深度学习算法', '视觉图像算法', '图像处理', 'OpenCV', '数据挖掘']",25,南京,南京,
图像算法工程师（深度学习方向）,南京·雨花台区·铁心桥,25-40K·13薪,'1-3年', '本科',卓宇智能,"['Python', '算法设计', '深度学习算法', '视觉图像算法', 'TensorFlow', 'PyTorch', 'Keras']",25,南京雨花台区,南京,雨花台区
AI算法工程师,南京·江宁区·禄口机场,18-35K·13薪,'3-5年', '硕士',拓恒技术,"['英文读写能力良好', 'C++', '视觉图像算法', '深度学习算法', '深度学习经验', 'PyTorch', 'MXNet', '机器学习算法/工程化经验', 'TensorFlow/PyTorch', '语音/图像识别', '业务导向', 'Python', 'TensorFlow']",18,南京江宁区,南京,江宁区
图像算法工程师,南京,20-40K·13薪,'3-5年', '硕士',某通信公司,"['Python', 'C/C++']",20,南京,南京,
AI算法工程师,南京·雨花台区·铁心桥,20-30K,'5-10年', '硕士',瞬联科技,"['C++', 'Python', '深度学习算法', '机器学习算法', '视觉图像算法', '英语', 'Pytorch']",20,南京雨花台区,南京,雨花台区
